date,state,district,pincode,age_0_5,age_5_17,age_18_greater
26-10-2025,Andhra Pradesh,Nalgonda,508004,0,1,0
26-10-2025,Andhra Pradesh,Nalgonda,508238,1,0,0
26-10-2025,Andhra Pradesh,Nalgonda,508278,1,0,0
26-10-2025,Andhra Pradesh,Nandyal,518432,0,1,0
26-10-2025,Andhra Pradesh,Nandyal,518543,1,0,0
26-10-2025,Andhra Pradesh,Nellore,524003,0,1,0
26-10-2025,Andhra Pradesh,Nellore,524129,2,0,0
26-10-2025,Andhra Pradesh,Nellore,524132,3,0,0
26-10-2025,Andhra Pradesh,Nellore,524230,1,0,0
26-10-2025,Andhra Pradesh,Nellore,524302,1,0,0
26-10-2025,Andhra Pradesh,Nellore,524315,0,1,0
26-10-2025,Andhra Pradesh,Nizamabad,503003,1,0,0
26-10-2025,Andhra Pradesh,Palnadu,522410,1,0,0
26-10-2025,Andhra Pradesh,Prakasam,523246,0,1,0
26-10-2025,Andhra Pradesh,Prakasam,523265,1,0,0
26-10-2025,Andhra Pradesh,Prakasam,523327,2,1,0
26-10-2025,Andhra Pradesh,Rangareddi,500048,1,0,0
26-10-2025,Andhra Pradesh,Rangareddi,501401,0,1,0
26-10-2025,Andhra Pradesh,Sri Potti Sriramulu Nellore,524313,0,1,0
26-10-2025,Andhra Pradesh,Sri Potti Sriramulu Nellore,524322,1,1,0
26-10-2025,Andhra Pradesh,Sri Sathya Sai,515671,3,0,0
26-10-2025,Andhra Pradesh,Srikakulam,532185,2,0,0
26-10-2025,Andhra Pradesh,Srikakulam,532221,1,0,0
26-10-2025,Andhra Pradesh,Srikakulam,532407,1,0,0
26-10-2025,Andhra Pradesh,Srikakulam,532459,1,0,0
26-10-2025,Andhra Pradesh,Srikakulam,532484,1,0,0
26-10-2025,Andhra Pradesh,Srikakulam,535557,1,0,0
26-10-2025,Andhra Pradesh,Tirupati,524126,1,0,0
26-10-2025,Andhra Pradesh,Visakhapatnam,530016,1,0,0
26-10-2025,Andhra Pradesh,Visakhapatnam,530018,2,0,0
26-10-2025,Andhra Pradesh,Visakhapatnam,531029,1,0,0
26-10-2025,Andhra Pradesh,Visakhapatnam,531031,1,0,0
26-10-2025,Andhra Pradesh,Visakhapatnam,531127,1,0,0
26-10-2025,Andhra Pradesh,Visakhapatnam,531151,2,0,0
26-10-2025,Andhra Pradesh,Vizianagaram,535281,1,0,0
26-10-2025,Andhra Pradesh,Warangal,506167,0,1,0
26-10-2025,Andhra Pradesh,West Godavari,534176,1,0,0
26-10-2025,Andhra Pradesh,West Godavari,534201,0,1,0
26-10-2025,Andhra Pradesh,West Godavari,534227,1,0,0
26-10-2025,Andhra Pradesh,West Godavari,534416,1,0,0
26-10-2025,Andhra Pradesh,West Godavari,534456,1,0,0
26-10-2025,Andhra Pradesh,West Godavari,534460,2,0,0
26-10-2025,Arunachal Pradesh,Changlang,792120,2,0,0
26-10-2025,Arunachal Pradesh,East Kameng,790102,0,1,0
26-10-2025,Arunachal Pradesh,Lohit,792001,0,1,0
26-10-2025,Arunachal Pradesh,Papum Pare,791109,0,1,0
26-10-2025,Arunachal Pradesh,Papum Pare,791111,2,0,0
26-10-2025,Arunachal Pradesh,Shi-yomi,791003,0,2,0
26-10-2025,Arunachal Pradesh,Tawang,790104,1,0,0
26-10-2025,Arunachal Pradesh,Tawang,790106,1,0,0
26-10-2025,Arunachal Pradesh,West Siang,791125,1,1,0
26-10-2025,Assam,Baksa,781360,2,1,0
26-10-2025,Assam,Baksa,781367,1,7,0
26-10-2025,Assam,Barpeta,781302,3,1,0
26-10-2025,Assam,Barpeta,781308,1,4,0
26-10-2025,Assam,Barpeta,781309,2,2,0
26-10-2025,Assam,Barpeta,781313,1,1,0
